repeat,fold,k,max_depth,f1
1,1,3,None,0.7862407862407862
1,2,3,None,0.7821782178217822
1,3,3,None,0.7865707434052758
2,1,3,None,0.7980769230769231
2,2,3,None,0.7892156862745098
2,3,3,None,0.7860696517412935
3,1,3,None,0.8125
3,2,3,None,0.8277511961722488
3,3,3,None,0.7430025445292621
4,1,3,None,0.76
4,2,3,None,0.7912621359223301
4,3,3,None,0.8195121951219512
5,1,3,None,0.8344988344988346
5,2,3,None,0.7581047381546134
5,3,3,None,0.8108108108108109
6,1,3,None,0.7741935483870968
6,2,3,None,0.7772277227722773
6,3,3,None,0.819672131147541
7,1,3,None,0.8125
7,2,3,None,0.7531806615776081
7,3,3,None,0.7593052109181141
8,1,3,None,0.7630922693266833
8,2,3,None,0.7684478371501272
8,3,3,None,0.8188235294117647
9,1,3,None,0.7766990291262136
9,2,3,None,0.8019323671497585
9,3,3,None,0.8048780487804879
10,1,3,None,0.7525773195876289
10,2,3,None,0.8367816091954023
10,3,3,None,0.7990196078431373
1,1,5,None,0.824
1,2,5,None,0.757201646090535
1,3,5,None,0.7782426778242678
1,4,5,None,0.8171206225680934
1,5,5,None,0.7951807228915663
2,1,5,None,0.7717842323651453
2,2,5,None,0.8671875
2,3,5,None,0.8049792531120332
2,4,5,None,0.7773279352226721
2,5,5,None,0.8032128514056225
3,1,5,None,0.8313725490196079
3,2,5,None,0.8273092369477911
3,3,5,None,0.8130081300813008
3,4,5,None,0.7903225806451613
3,5,5,None,0.725
4,1,5,None,0.7350427350427351
4,2,5,None,0.7883817427385892
4,3,5,None,0.8404669260700389
4,4,5,None,0.8203125
4,5,5,None,0.7755102040816326
5,1,5,None,0.828125
5,2,5,None,0.7935222672064778
5,3,5,None,0.7854251012145749
5,4,5,None,0.796812749003984
5,5,5,None,0.84251968503937
6,1,5,None,0.774468085106383
6,2,5,None,0.7966804979253111
6,3,5,None,0.824
6,4,5,None,0.768
6,5,5,None,0.8404669260700389
7,1,5,None,0.824
7,2,5,None,0.8032786885245902
7,3,5,None,0.7741935483870968
7,4,5,None,0.8178137651821862
7,5,5,None,0.7673469387755102
8,1,5,None,0.7510548523206751
