repeat,k,max_depth,f1
1,3,None,0.7849965824892814
1,5,None,0.7943491338748925
1,10,None,0.8085402486769656
2,3,None,0.7911207536975754
2,5,None,0.8048983544210946
2,10,None,0.8108897276785545
3,3,None,0.7944179135671702
3,5,None,0.7974024993387723
3,10,None,0.7963943956134993
4,3,None,0.7902581103480938
4,5,None,0.7919428215865991
4,10,None,0.801992338517455
5,3,None,0.8011381278214196
5,5,None,0.8092809604928813
5,10,None,0.8047336246219192
6,3,None,0.7903644674356384
6,5,None,0.8007231018203467
6,10,None,0.8070193376694667
7,3,None,0.7749952908319074
7,5,None,0.7973265881738767
7,10,None,0.8138615676860541
8,3,None,0.7834545452961917
8,5,None,0.7896246122956325
8,10,None,0.8179674485952869
9,3,None,0.7945031483521533
9,5,None,0.7970718003800711
9,10,None,0.8072110564675274
10,3,None,0.7961261788753896
10,5,None,0.7924819542802644
10,10,None,0.8051278181704167
