repeat,fold,k,max_depth,f1
1,1,3,3,0.03333333333333333
1,2,3,3,0.049586776859504134
1,3,3,3,0.08130081300813008
2,1,3,3,0.049586776859504134
2,2,3,3,0.0796812749003984
2,3,3,3,0.041666666666666664
3,1,3,3,0.05737704918032787
3,2,3,3,0.049586776859504134
3,3,3,3,0.06584362139917696
4,1,3,3,0.025
4,2,3,3,0.049586776859504134
4,3,3,3,0.1349206349206349
5,1,3,3,0.08906882591093117
5,2,3,3,0.049586776859504134
5,3,3,3,0.041666666666666664
6,1,3,3,0.049586776859504134
6,2,3,3,0.06557377049180328
6,3,3,3,0.041666666666666664
7,1,3,3,0.049586776859504134
7,2,3,3,0.07346938775510205
7,3,3,3,0.049586776859504134
8,1,3,3,0.0967741935483871
8,2,3,3,0.04149377593360996
8,3,3,3,0.025210084033613446
9,1,3,3,0.049586776859504134
9,2,3,3,0.049586776859504134
9,3,3,3,0.049586776859504134
10,1,3,3,0.05761316872427984
10,2,3,3,0.03319502074688797
10,3,3,3,0.08163265306122448
1,1,3,5,0.5548780487804879
1,2,3,5,0.6158357771260997
1,3,3,5,0.5889212827988338
2,1,3,5,0.5203761755485894
2,2,3,5,0.5368731563421829
2,3,3,5,0.5783132530120482
3,1,3,5,0.5773809523809523
3,2,3,5,0.6076696165191741
3,3,3,5,0.562874251497006
4,1,3,5,0.50625
4,2,3,5,0.5487804878048781
4,3,3,5,0.6514285714285715
5,1,3,5,0.6534090909090909
5,2,3,5,0.5333333333333333
5,3,3,5,0.5952380952380952
6,1,3,5,0.562874251497006
6,2,3,5,0.5833333333333334
6,3,3,5,0.6076696165191741
7,1,3,5,0.5636363636363636
7,2,3,5,0.5521472392638037
7,3,3,5,0.5889212827988338
8,1,3,5,0.5857988165680473
8,2,3,5,0.572289156626506
8,3,3,5,0.5934718100890207
9,1,3,5,0.5645645645645646
9,2,3,5,0.5
9,3,3,5,0.6318840579710145
10,1,3,5,0.5063291139240507
10,2,3,5,0.6428571428571429
10,3,3,5,0.5705705705705706
1,1,3,None,0.7862407862407862
1,2,3,None,0.7821782178217822
1,3,3,None,0.7865707434052758
2,1,3,None,0.7980769230769231
2,2,3,None,0.7892156862745098
2,3,3,None,0.7860696517412935
3,1,3,None,0.8125
3,2,3,None,0.8277511961722488
3,3,3,None,0.7430025445292621
4,1,3,None,0.76
4,2,3,None,0.7912621359223301
4,3,3,None,0.8195121951219512
5,1,3,None,0.8344988344988346
5,2,3,None,0.7581047381546134
5,3,3,None,0.8108108108108109
6,1,3,None,0.7741935483870968
6,2,3,None,0.7772277227722773
6,3,3,None,0.819672131147541
7,1,3,None,0.8125
7,2,3,None,0.7531806615776081
7,3,3,None,0.7593052109181141
8,1,3,None,0.7630922693266833
8,2,3,None,0.7684478371501272
8,3,3,None,0.8188235294117647
9,1,3,None,0.7766990291262136
9,2,3,None,0.8019323671497585
9,3,3,None,0.8048780487804879
10,1,3,None,0.7525773195876289
10,2,3,None,0.8367816091954023
10,3,3,None,0.7990196078431373
1,1,5,3,0.041666666666666664
1,2,5,3,0.041666666666666664
1,3,5,3,0.041666666666666664
1,4,5,3,0.08108108108108109
1,5,5,3,0.06802721088435375
2,1,5,3,0.08163265306122448
2,2,5,3,0.05517241379310345
2,3,5,3,0.0684931506849315
2,4,5,3,0.041379310344827586
2,5,5,3,0.06802721088435375
3,1,5,3,0.027972027972027972
3,2,5,3,0.08108108108108109
3,3,5,3,0.027972027972027972
3,4,5,3,0.0547945205479452
3,5,5,3,0.08108108108108109
4,1,5,3,0.027972027972027972
4,2,5,3,0.041666666666666664
4,3,5,3,0.041666666666666664
4,4,5,3,0.10666666666666667
4,5,5,3,0.09395973154362416
5,1,5,3,0.08163265306122448
5,2,5,3,0.08163265306122448
5,3,5,3,0.05517241379310345
5,4,5,3,0.027777777777777776
5,5,5,3,0.0547945205479452
6,1,5,3,0.0684931506849315
6,2,5,3,0.05517241379310345
6,3,5,3,0.041666666666666664
6,4,5,3,0.0547945205479452
6,5,5,3,0.0547945205479452
7,1,5,3,0.08163265306122448
7,2,5,3,0.027972027972027972
7,3,5,3,0.0945945945945946
7,4,5,3,0.06802721088435375
7,5,5,3,0.0547945205479452
8,1,5,3,0.041666666666666664
8,2,5,3,0.13157894736842105
8,3,5,3,0.05517241379310345
8,4,5,3,0.08108108108108109
8,5,5,3,0.041379310344827586
9,1,5,3,0.014084507042253521
9,2,5,3,0.0684931506849315
9,3,5,3,0.05517241379310345
9,4,5,3,0.06802721088435375
9,5,5,3,0.06802721088435375
10,1,5,3,0.0684931506849315
10,2,5,3,0.041666666666666664
10,3,5,3,0.0547945205479452
10,4,5,3,0.0547945205479452
10,5,5,3,0.11920529801324503
1,1,5,5,0.6019417475728155
1,2,5,5,0.5257731958762887
1,3,5,5,0.6320754716981132
1,4,5,5,0.5714285714285714
1,5,5,5,0.6028708133971292
2,1,5,5,0.5685279187817259
2,2,5,5,0.6183574879227053
2,3,5,5,0.5572139303482587
2,4,5,5,0.5882352941176471
2,5,5,5,0.6666666666666666
3,1,5,5,0.5052631578947369
3,2,5,5,0.6116504854368932
3,3,5,5,0.6442307692307693
3,4,5,5,0.542713567839196
3,5,5,5,0.5771144278606966
4,1,5,5,0.5
4,2,5,5,0.5257731958762887
4,3,5,5,0.6445497630331753
4,4,5,5,0.6759259259259259
4,5,5,5,0.6481481481481481
5,1,5,5,0.676056338028169
5,2,5,5,0.6604651162790698
5,3,5,5,0.594059405940594
5,4,5,5,0.5482233502538071
5,5,5,5,0.6086956521739131
6,1,5,5,0.5527638190954773
6,2,5,5,0.6213592233009708
6,3,5,5,0.6176470588235294
6,4,5,5,0.5812807881773399
6,5,5,5,0.6880733944954128
7,1,5,5,0.5656565656565656
7,2,5,5,0.5685279187817259
7,3,5,5,0.5970149253731343
7,4,5,5,0.6255924170616114
7,5,5,5,0.6153846153846154
8,1,5,5,0.5
8,2,5,5,0.625
8,3,5,5,0.5572139303482587
8,4,5,5,0.6146341463414634
8,5,5,5,0.5893719806763285
9,1,5,5,0.5656565656565656
9,2,5,5,0.5771144278606966
9,3,5,5,0.5970149253731343
9,4,5,5,0.5911330049261084
9,5,5,5,0.6350710900473934
10,1,5,5,0.5157894736842106
10,2,5,5,0.5685279187817259
10,3,5,5,0.6944444444444444
10,4,5,5,0.6074766355140186
10,5,5,5,0.5628140703517588
1,1,5,None,0.824
1,2,5,None,0.757201646090535
1,3,5,None,0.7782426778242678
1,4,5,None,0.8171206225680934
1,5,5,None,0.7951807228915663
2,1,5,None,0.7717842323651453
2,2,5,None,0.8671875
2,3,5,None,0.8049792531120332
2,4,5,None,0.7773279352226721
2,5,5,None,0.8032128514056225
3,1,5,None,0.8313725490196079
3,2,5,None,0.8273092369477911
3,3,5,None,0.8130081300813008
3,4,5,None,0.7903225806451613
3,5,5,None,0.725
4,1,5,None,0.7350427350427351
4,2,5,None,0.7883817427385892
4,3,5,None,0.8404669260700389
4,4,5,None,0.8203125
4,5,5,None,0.7755102040816326
5,1,5,None,0.828125
5,2,5,None,0.7935222672064778
5,3,5,None,0.7854251012145749
5,4,5,None,0.796812749003984
5,5,5,None,0.84251968503937
6,1,5,None,0.774468085106383
6,2,5,None,0.7966804979253111
6,3,5,None,0.824
6,4,5,None,0.768
6,5,5,None,0.8404669260700389
7,1,5,None,0.824
7,2,5,None,0.8032786885245902
7,3,5,None,0.7741935483870968
7,4,5,None,0.8178137651821862
7,5,5,None,0.7673469387755102
8,1,5,None,0.7510548523206751
8,2,5,None,0.7935222672064778
8,3,5,None,0.8097165991902834
8,4,5,None,0.8346456692913385
8,5,5,None,0.7591836734693878
9,1,5,None,0.8081632653061225
9,2,5,None,0.7935222672064778
9,3,5,None,0.8
9,4,5,None,0.7918367346938775
9,5,5,None,0.7918367346938775
10,1,5,None,0.7435897435897436
10,2,5,None,0.7886178861788617
10,3,5,None,0.8492063492063492
10,4,5,None,0.782608695652174
10,5,5,None,0.7983870967741935
1,1,10,3,0.05555555555555555
1,2,10,3,0.0
1,3,10,3,0.0
1,4,10,3,0.08108108108108109
1,5,10,3,0.0547945205479452
1,6,10,3,0.08108108108108109
1,7,10,3,0.027777777777777776
1,8,10,3,0.08
1,9,10,3,0.0547945205479452
1,10,10,3,0.08108108108108109
2,1,10,3,0.028169014084507043
2,2,10,3,0.13333333333333333
2,3,10,3,0.05555555555555555
2,4,10,3,0.08108108108108109
2,5,10,3,0.027777777777777776
2,6,10,3,0.08108108108108109
2,7,10,3,0.027777777777777776
2,8,10,3,0.027777777777777776
2,9,10,3,0.08108108108108109
2,10,10,3,0.027777777777777776
3,1,10,3,0.028169014084507043
3,2,10,3,0.05555555555555555
3,3,10,3,0.10810810810810811
3,4,10,3,0.10666666666666667
3,5,10,3,0.08108108108108109
3,6,10,3,0.0547945205479452
3,7,10,3,0.0
3,8,10,3,0.08108108108108109
3,9,10,3,0.0547945205479452
3,10,10,3,0.0547945205479452
4,1,10,3,0.028169014084507043
4,2,10,3,0.0
4,3,10,3,0.0
4,4,10,3,0.0547945205479452
4,5,10,3,0.08108108108108109
4,6,10,3,0.0
4,7,10,3,0.10666666666666667
4,8,10,3,0.15584415584415584
4,9,10,3,0.027777777777777776
4,10,10,3,0.08108108108108109
5,1,10,3,0.0821917808219178
5,2,10,3,0.028169014084507043
5,3,10,3,0.0821917808219178
5,4,10,3,0.08108108108108109
5,5,10,3,0.02702702702702703
5,6,10,3,0.10666666666666667
5,7,10,3,0.0
5,8,10,3,0.027777777777777776
5,9,10,3,0.0547945205479452
5,10,10,3,0.027777777777777776
6,1,10,3,0.0821917808219178
6,2,10,3,0.028169014084507043
6,3,10,3,0.028169014084507043
6,4,10,3,0.08108108108108109
6,5,10,3,0.0547945205479452
6,6,10,3,0.0
6,7,10,3,0.10666666666666667
6,8,10,3,0.0
6,9,10,3,0.08108108108108109
6,10,10,3,0.08108108108108109
7,1,10,3,0.05555555555555555
7,2,10,3,0.028169014084507043
7,3,10,3,0.05555555555555555
7,4,10,3,0.027777777777777776
7,5,10,3,0.0547945205479452
7,6,10,3,0.13157894736842105
7,7,10,3,0.10666666666666667
7,8,10,3,0.08108108108108109
7,9,10,3,0.0547945205479452
7,10,10,3,0.0
8,1,10,3,0.05555555555555555
8,2,10,3,0.0
8,3,10,3,0.05555555555555555
8,4,10,3,0.15584415584415584
8,5,10,3,0.0547945205479452
8,6,10,3,0.0547945205479452
8,7,10,3,0.027777777777777776
8,8,10,3,0.027777777777777776
8,9,10,3,0.0547945205479452
8,10,10,3,0.027777777777777776
9,1,10,3,0.0
9,2,10,3,0.0
9,3,10,3,0.15789473684210525
9,4,10,3,0.027777777777777776
9,5,10,3,0.0547945205479452
9,6,10,3,0.0547945205479452
9,7,10,3,0.027777777777777776
9,8,10,3,0.0
9,9,10,3,0.10666666666666667
9,10,10,3,0.10666666666666667
10,1,10,3,0.0821917808219178
10,2,10,3,0.028169014084507043
10,3,10,3,0.028169014084507043
