repeat,k,max_depth,f1
1,3,3,0.054740307733655846
1,3,5,0.5865450362351404
1,3,None,0.7849965824892814
1,5,3,0.05482165839308697
1,5,5,0.5868179599945835
1,5,None,0.7943491338748925
1,10,3,0.051616561767246695
1,10,5,0.5987130284463964
1,10,None,0.8085402486769656
2,3,3,0.05697823947552307
2,3,5,0.5451875283009402
2,3,None,0.7911207536975754
2,5,3,0.06294094775368815
2,5,5,0.5998002595674008
2,5,None,0.8048983544210946
2,10,3,0.057141225732775025
2,10,5,0.5832805862993033
2,10,None,0.8108897276785545
3,3,3,0.057602482479669655
3,3,5,0.5826416067990441
3,3,None,0.7944179135671702
3,5,3,0.05458014773083266
3,5,5,0.5761944816524583
3,5,None,0.7974024993387723
3,10,3,0.06250450682208351
3,10,5,0.5877712477596553
3,10,None,0.7963943956134993
4,3,3,0.06983580392671301
4,3,5,0.5688196864111498
4,3,None,0.7902581103480938
4,5,3,0.062386351903130424
4,5,5,0.5988794065967076
4,5,None,0.7919428215865991
4,10,3,0.05354142970832147
4,10,5,0.6028030891968438
4,10,None,0.801992338517455
5,3,3,0.06010742314570066
5,3,5,0.5939935064935065
5,3,None,0.8011381278214196
5,5,3,0.06020200364825508
5,5,5,0.6174999725351106
5,5,None,0.8092809604928813
5,10,3,0.05176774266066182
5,10,5,0.6033828350612828
5,10,None,0.8047336246219192
6,3,3,0.05227573800599136
6,3,5,0.5846257337831712
6,3,None,0.7903644674356384
6,5,3,0.05498425444811841
6,5,5,0.612224856778546
6,5,None,0.8007231018203467
6,10,3,0.0543234239448787
6,10,5,0.588488458305443
6,10,None,0.8070193376694667
7,3,3,0.057547647158036765
7,3,5,0.568234961899667
7,3,None,0.7749952908319074
7,5,3,0.06540420141202921
7,5,5,0.5944352884515306
7,5,None,0.7973265881738767
7,10,3,0.05959736391854551
7,10,5,0.607732283830186
7,10,None,0.8138615676860541
8,3,3,0.054492684505203504
8,3,5,0.5838532610945247
8,3,None,0.7834545452961917
8,5,3,0.07017568385081996
8,5,5,0.57724401147321
8,5,None,0.7896246122956325
8,10,3,0.05146721619324359
8,10,5,0.5873668225960682
8,10,None,0.8179674485952869
9,3,3,0.049586776859504134
9,3,5,0.5654828741785264
9,3,None,0.7945031483521533
9,5,3,0.05476089865779919
9,5,5,0.5931980027727797
9,5,None,0.7970718003800711
9,10,3,0.05363726668268846
9,10,5,0.5802083025365703
9,10,None,0.8072110564675274
10,3,3,0.05748028084413076
10,3,5,0.5732522757839215
10,3,None,0.7961261788753896
10,5,3,0.06779083129214672
10,5,5,0.5898105085552316
10,5,None,0.7924819542802644
10,10,3,0.04921231283376759
10,10,5,0.5993138409743279
10,10,None,0.8051278181704167
