,account_length,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
account_length,1.0,-0.014574666267831002,-0.0010174908066805557,0.028240227881464887,-0.0010191979614159459,-0.009591333137542665,0.009142579036024275,-0.009587395822730571,0.000667911182280422,-0.00782547848770571,0.0006558936778097678,0.001290839427459895,0.014277273318296804,0.001291811206270311,-0.0014447917651621565
number_vmail_messages,-0.014574666267831002,1.0,0.005381375960654525,0.0008831280067745973,0.0053767958516914,0.019490120754725556,-0.0039543728093618825,0.01949597565315316,0.005541383812742748,0.002676220227255797,0.005534928135168643,0.0024627017675346186,0.00012433024609732074,0.002505177320644857,-0.007085642693096588
total_day_minutes,-0.0010174908066805557,0.005381375960654525,1.0,0.0019351486957893667,0.9999999509831975,-0.010750427386866528,0.008128130473126396,-0.010760021726227647,0.011798659999244022,0.0042360999072667445,0.011782532764223022,-0.01948574632583264,-0.0013031234662255879,-0.01941479722841286,0.0027325761618292054
total_day_calls,0.028240227881464887,0.0008831280067745973,0.0019351486957893667,1.0,0.0019358843646607251,-0.0006994114708042444,0.003754178695284276,-0.0006952216752118381,0.00280446497470731,-0.008308346717225579,0.0028018168792725067,0.013097219754673038,0.010892853267709963,0.013161397556250197,-0.010739495083121125
total_day_charge,-0.0010191979614159459,0.0053767958516914,0.9999999509831975,0.0019358843646607251,1.0,-0.010747296837522364,0.008129319004161854,-0.010756893054787928,0.011801433860012147,0.004234933740255773,0.01178530116313638,-0.01948970009749194,-0.001306635281505888,-0.019418754763562952,0.002726370192473038
total_eve_minutes,-0.009591333137542665,0.019490120754725556,-0.010750427386866528,-0.0006994114708042444,-0.010747296837522364,1.0,0.002763019406749719,0.9999997748632368,-0.01663911604411638,0.013420216275055744,-0.016642042112908144,0.00013654874558242691,0.008388155877574145,0.00015931551581446158,-0.013823422807747681
total_eve_calls,0.009142579036024275,-0.0039543728093618825,0.008128130473126396,0.003754178695284276,0.008129319004161854,0.002763019406749719,1.0,0.0027780971147908554,0.0017814105504447828,-0.01368234079745179,0.0017993804229349112,-0.0074584583342127845,0.005574499916987404,-0.007507150801103108,0.006234830562523755
total_eve_charge,-0.009587395822730571,0.01949597565315316,-0.010760021726227647,-0.0006952216752118381,-0.010756893054787928,0.9999997748632368,0.0027780971147908554,1.0,-0.016648919124572604,0.013422017412690612,-0.016651836727282678,0.00013202381422623718,0.008393060331758835,0.0001547783372188199,-0.013836362320991445
total_night_minutes,0.000667911182280422,0.005541383812742748,0.011798659999244022,0.00280446497470731,0.011801433860012147,-0.01663911604411638,0.0017814105504447828,-0.016648919124572604,1.0,0.02697181822308513,0.999999207186797,-0.006720966921597935,-0.01721401615173222,-0.006654587345714402,-0.008532536464559507
total_night_calls,-0.00782547848770571,0.002676220227255797,0.0042360999072667445,-0.008308346717225579,0.004234933740255773,0.013420216275055744,-0.01368234079745179,0.013422017412690612,0.02697181822308513,1.0,0.026949491392387767,0.00039075729962840345,-0.0001557557298253518,0.00036800574994908924,-0.00828260746772502
total_night_charge,0.0006558936778097678,0.005534928135168643,0.011782532764223022,0.0028018168792725067,0.01178530116313638,-0.016642042112908144,0.0017993804229349112,-0.016651836727282678,0.999999207186797,0.026949491392387767,1.0,-0.0067165376038990695,-0.017182157276491482,-0.006650156848030056,-0.008530076794367769
total_intl_minutes,0.001290839427459895,0.0024627017675346186,-0.01948574632583264,0.013097219754673038,-0.01948970009749194,0.00013654874558242691,-0.0074584583342127845,0.00013202381422623718,-0.006720966921597935,0.00039075729962840345,-0.0067165376038990695,1.0,0.0167914752192571,0.9999926570208366,-0.012121812385459535
total_intl_calls,0.014277273318296804,0.00012433024609732074,-0.0013031234662255879,0.010892853267709963,-0.001306635281505888,0.008388155877574145,0.005574499916987404,0.008393060331758835,-0.01721401615173222,-0.0001557557298253518,-0.017182157276491482,0.0167914752192571,1.0,0.01690009340515227,-0.01914665042520698
total_intl_charge,0.001291811206270311,0.002505177320644857,-0.01941479722841286,0.013161397556250197,-0.019418754763562952,0.00015931551581446158,-0.007507150801103108,0.0001547783372188199,-0.006654587345714402,0.00036800574994908924,-0.006650156848030056,0.9999926570208366,0.01690009340515227,1.0,-0.012180334261251221
number_customer_service_calls,-0.0014447917651621565,-0.007085642693096588,0.0027325761618292054,-0.010739495083121125,0.002726370192473038,-0.013823422807747681,0.006234830562523755,-0.013836362320991445,-0.008532536464559507,-0.00828260746772502,-0.008530076794367769,-0.012121812385459535,-0.01914665042520698,-0.012180334261251221,1.0
